STAID,CLASS,AGGECOREGION,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS (WSC),WSC_CLASS (AK-HI-PR only)
50027000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50027000.2009.pdf,Low flows affected by WTP withdrawals (+- 5%).,2
50028000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50028000.2008.pdf,Low flows affected by WTP withdrawals (up to 10%).,2
50028400,Non-ref,PuertoRico,Diversion 0.8 mi (1.3 km) upstream for municipal supply of Arecibo.,http://wdr.water.usgs.gov/wy2008/pdfs/50028400.2008.pdf,Low flows affected by WTP withdrawals and water diversions.,2
50029000,Non-ref,PuertoRico,"Flow regulated by Lago Dos Bocas dam, 13.9 mi (22.4 km) upstream.",http://wdr.water.usgs.gov/wy2008/pdfs/50029000.2008.pdf,"Flows affected by large WTP withdrawals, WWTP discharge, and dams.",3
50031200,Non-ref,PuertoRico,"Public water-supply pumpage, about 1,000 ft (305 m) upstream from the station, influences low-flow discharges.",http://wdr.water.usgs.gov/wy2008/pdfs/50031200.2008.pdf,Flows affected by WTP withdrawals and WWTP discharges.,3
50034000,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50034000.2008.pdf,No significant withdrawals or discharges upstream from station.,1
50035000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50035000.2008.pdf,Low to medium flows affected by withdrawals discharges (10-20%).,2
50038100,Non-ref,PuertoRico,Possible water extraction about 500 ft (152.4 m) upstream of gage by unknown source affecting low flow.,http://wdr.water.usgs.gov/wy2008/pdfs/50038100.2008.pdf,Low flows affected by withdrawals/discharges (+- 12%).,2
50038320,Non-ref,PuertoRico,Daily discharge affected by sewage treatment pant about 0.6 mi (1.0 km) upstream from station.,2003 ADR,All flow regimes affected by withdrawals/discharges.,3
50039500,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50039500.2008.pdf,Low to medium flows affected by withdrawals discharges.,3
50043000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50043000.2008.pdf,Low to medium flows affected by withdrawals discharges.,3
50043800,Non-ref,PuertoRico,Water Filtration plant approximately 300 ft (91.44 m) upstream from station.,http://wdr.water.usgs.gov/wy2009/pdfs/50043800.2009.pdf,Low to medium flows affected by withdrawals discharges.,3
50044810,Non-ref,PuertoRico,Low-flow is affected by discharges from Puerto Rico Aqueduct and Sewer Authority (PRASA) waste water treatment plant.,http://wdr.water.usgs.gov/wy2009/pdfs/50044810.2009.pdf,Low to medium flows affected by withdrawals discharges.,3
50045010,Non-ref,PuertoRico,Regulation at all stages by the Puerto Rico Aqueduct and Sewer Authority reservoir upstream from gage.,http://wdr.water.usgs.gov/wy2009/pdfs/50045010.2009.pdf,85 to 90 cfs are withdrew from La Plata reservoir just upstream from gage.,3
50046000,Non-ref,PuertoRico,Regulation at all stages by the Puerto Rico Aqueduct and Sewer Authority (PRASA) reservoir upstream from gage. Flow affected by water extraction for La Virgencita water treatment plant by the Puerto Rico Aqueduct and Sewer Authority (PRASA) of about 3.99,http://wdr.water.usgs.gov/wy2008/pdfs/50046000.2008.pdf,Near 100 cfs are withdrew ustream from station.,3
50047535,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2006/pdfs/50047535.2006.pdf,None withdrawals/discharges upstream the station.,1
50047560,Non-ref,PuertoRico,,Not available,Flow regulated by Cidra Dam just upstream from station.,3
50047850,Non-ref,PuertoRico,"Diversion to the Guaynabo water treatment plant, for municipal supply, made upstream from station (at Represa de San Juan). Flow is regulated by storage and release of water at Lago de Cidra (capacity 5,220 acre-ft), 10.5 mi (16.9 km) upstream.",http://wdr.water.usgs.gov/wy2008/pdfs/50047850.2008.pdf,Low to medium flows affected by withdrawals.,3
50048690,Non-ref,PuertoRico,"Flow completly regulated by Lago Las Curias Dam, 0.20 mi (0.32 km) from gage.",http://wdr.water.usgs.gov/wy2009/pdfs/50048690.2009.pdf,Flow regulated by Las Curias Dam just upstream from station.,3
50048770,Non-ref,PuertoRico,Low flow is affected by discharges from water treatment plant of the Puerto Rico Aqueduct and Sewer Authority (PRASA) and others dispersed pollution points directly to the river.,http://wdr.water.usgs.gov/wy2007/pdfs/50048770.2007.pdf,Upstream flow regulation has sligth effect on medium to high flows.,3
50049100,Non-ref,PuertoRico,"Mean daily discharge affected by sewage discharges (approximately 2 ft³/s (0.06 m³/s), 20 ft (6 m) upstream from gaging station.",http://wdr.water.usgs.gov/wy2007/pdfs/50049100.2007.pdf,Upstream flow regulation has sligth effect on medium to high flows.,3
50050900,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50050900.2008.pdf,No significant withdrawals/discharges upstream from station.,1
50051310,Non-ref,PuertoRico,Sand removal at a commercial level is practiced at times during the year. This takes place about 100 ft (30.5 m) downstream from gage.,http://wdr.water.usgs.gov/wy2008/pdfs/50051310.2008.pdf,Low to medium flows affected by withdrawals (10-20%).,2
50051800,Non-ref,PuertoRico,Water purification plant located about 0.2 mi (0.3 km) upstream from gage.,http://wdr.water.usgs.gov/wy2009/pdfs/50051800.2009.pdf,Low to medium flows affected by withdrawals (>20%).,3
50053025,Non-ref,PuertoRico,"Low flow affected by diversion of water by the Puerto Rico Aqueduct and Sewage Authority, (PRASA) which has a water intake at Quebrada Morena, an upstream tributary of Río Turabo that supplies San Salvador Water Filtration plant.",http://wdr.water.usgs.gov/wy2009/pdfs/50053025.2009.pdf,Low flows affected by withdrawals (4 to 7%).,2
50055000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50055000.2008.pdf,Low to medium flows affected by withdrawals/discharges (>20%).,3
50055380,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50055380.2009.pdf,Low flows are affected more than 25%.,3
50055750,Non-ref,PuertoRico,"Low flow is affected by sewage discharges from a water treatment plant, 0.60 mi (0.96 km) upstream from gaging station.",http://wdr.water.usgs.gov/wy2009/pdfs/50055750.2009.pdf,Flows affected by significant withdrawals (up to 3cfs) upstream for station.,3
50056400,Non-ref,PuertoRico,"Minor diversion from public water-supply tank, 0.5 mi upstream, during low flow.",http://wdr.water.usgs.gov/wy2008/pdfs/50056400.2008.pdf,Low to medium flows affected by withdrawals (10-35%).,3
50057000,Non-ref,PuertoRico,"Low flow affected by diversions for water supply about 400 ft (121 m) upstream from station by Puerto Rico Aqueduct and Sewage Authority, (PRASA).",http://wdr.water.usgs.gov/wy2008/pdfs/50057000.2008.pdf,Low to medium high flows affected by withdrawals (15-50%).,3
50058350,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50058350.2009.pdf,None withdrawals/discharges upstream from station.,1
50059050,Non-ref,PuertoRico,Flow regulated by Lago Loíza Dam.,http://wdr.water.usgs.gov/wy2007/pdfs/50059050.2007.pdf,Flow regulated by Carraizo Dam withdrawals/discharges upstream station.,3
50059210,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2006/pdfs/50059210.2006.pdf,No withdrawals/discharges upstream from station.,1
50061800,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50061800.2008.pdf,Low to medium flows affected by water supply withdrawals (up to 30%).,3
50063440,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50063440.2008.pdf,No withdrawals/discharges upstream from station.,1
50063800,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50063800.2008.pdf,Low flows affected by withdrawals < 5% of flows.,2
50064200,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50064200.2008.pdf,Low to medium flows affected by withdrawals (7 to 18%).,2
50065500,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50065500.2008.pdf,No withdrawals/discharges upstream from station.,1
50067000,Non-ref,PuertoRico,"Low flow affected by the Puerto Rico Aqueduct and Sewer Authority (PRASA) water intake 1 mi (1.6 km) upstream, and purification plant 0.2 mi (0.32 km).",http://wdr.water.usgs.gov/wy2008/pdfs/50067000.2008.pdf,Low to medium high flows affected by withdrawals ( 8 to 50%).,3
50070900,Ref,PuertoRico,Low flow affected by diversions for water supply about 60 ft (18.3 m) downstream from gaging station.,http://wdr.water.usgs.gov/wy2007/pdfs/50070900.2007.pdf,No withdrawals/discharges upstream from station.,1
50071000,Non-ref,PuertoRico,Low-flow affected by diversions for water supply about 0.25 mi (0.4 km) upstream from gaging station (estimated mean daily discharges is 9 ft³/s (0.255 m³/s)).,http://wdr.water.usgs.gov/wy2008/pdfs/50071000.2008.pdf,Low to medium high flows affected by withdrawals (8 to 50%).,3
50075000,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2006/pdfs/50075000.2006.pdf,No withdrawals/discharges upstream from station.,1
50076000,Non-ref,PuertoRico,Low flow affected by diversion for water supply and hydroelectric power generation.,http://wdr.water.usgs.gov/wy2009/pdfs/50076000.2009.pdf,low flows affected by withdrawals and hydroelectric power generation.,2
50081000,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50081000.2008.pdf,No withdrawals/discharges upstream from station.,1
50085100,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50085100.2009.pdf,Low to medium flows affected by withdrawals (5 to 13%).,2
50090500,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50090500.2007.pdf,No significant withdrawals (± 2% or 0.1 cfs) of 5.3 cfs upstream from station.,1
50092000,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50092000.2007.pdf,No significant withdrawals upstream from station.,1
50093120,Non-ref,PuertoRico,Flow regulated by Lago Patillas Dam.,http://wdr.water.usgs.gov/wy2009/pdfs/50093120.2009.pdf,Flow regulated by Patillas Dam & withdrawals from the reservoir.,3
50100200,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50100200.2007.pdf,No withdrawals/discharges upstream from station.,1
50100450,Ref,PuertoRico,Some regulation at low flow upstream from station by local residents for agricultural purposes.,http://wdr.water.usgs.gov/wy2007/pdfs/50100450.2007.pdf,No withdrawals/discharges upstream from station.,1
50106100,Non-ref,PuertoRico,"Low flow is affected by domestic discharges about 200 ft (65.6 m), upstream from gaging station.",http://wdr.water.usgs.gov/wy2007/pdfs/50106100.2007.pdf,Low to medium flows affected by withdrawals (30-50%).,3
50108000,Ref,PuertoRico,Some regulation at low flow by local resident upstream from station.,http://wdr.water.usgs.gov/wy2007/pdfs/50108000.2007.pdf,No withdrawals/discharges upstream from station.,1
50110900,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50110900.2009.pdf,No withdrawals/discharges upstream from station.,1
50111500,Non-ref,PuertoRico,Flow regulation from Lago Guayabal.,http://wdr.water.usgs.gov/wy2008/pdfs/50111500.2008.pdf,Flow regulated by two dams and withdrawals upstream from station.,3
50112500,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50112500.2007.pdf,Low to medium flows affected by withdrawals (18-50%).,3
50113800,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2009/pdfs/50113800.2009.pdf,Low flows affected by small withdrawals (< 5%).,2
50114000,Non-ref,PuertoRico,"Flow regulated by Lago Cerrillos Dam since May 1991. Prior to June 1985, some low-flow regulation by construction upstream. Maximum discharge prior to regulation, 22,400 ft³/s (634 m³/s), September 16, 1975, gage height, 11.2 ft (3.41 m), site and datum t",http://wdr.water.usgs.gov/wy2008/pdfs/50114000.2008.pdf,Flow regulated by Cerrillos Dam and withdrawals upstream from station.,3
50114900,Non-ref,PuertoRico,"Some low-flow regulation due to the Puerto Rico Aqueduct and Sewer Authority (PRASA) intakes (2), 0.85 mi (1.36 km) upstream from station.",http://wdr.water.usgs.gov/wy2007/pdfs/50114900.2007.pdf,Low flows affected by withdrawals (6-13%).,2
50115000,Non-ref,PuertoRico,,2003 ADR,Low flows affected by withdrawals.,2
50115900,Non-ref,PuertoRico,Some low-flow regulation due to Río Portugués dam construction activity upstream.,http://wdr.water.usgs.gov/wy2009/pdfs/50115900.2009.pdf,Low flows affected by withdrawals.,2
50124200,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50124200.2008.pdf,Low flows affected by withdrawals (3-8%).,2
50126150,Non-ref,PuertoRico,Flow affected by numerous diversions into and out of the basin.,http://wdr.water.usgs.gov/wy2007/pdfs/50126150.2007.pdf,Flow regulated by Lucchetti Dam and withdrawals upstream station.,3
50131990,Non-ref,PuertoRico,,Not available,Low flows affected by withdrawals (±25%) and discharges,3
50136400,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50136400.2007.pdf,Low flows affected by withdrawals (5-13%).,2
50138000,Non-ref,PuertoRico,Daily discharges affected by sewage treatment plant about 2.1 mi (3.4 km) upstream from gage.,http://wdr.water.usgs.gov/wy2008/pdfs/50138000.2008.pdf,Low flows affected by withdrawals (± 25%) and discharges.,3
50141000,Ref,PuertoRico,,1984 ADR,No significant withdrawals (< 3% of low flows ) or discharger upstream.,1
50144000,Non-ref,PuertoRico,"Trans basin diversion (except during floods) to Rio Yauco basin for hydroelectric power and irrigation above Lago Guayo, Lago Yahuecas, and Lago Prieto, combined useable storage 17,300 acre-ft (21.3 hm³). Limited storm runoff is contributed to basin by 3.",http://wdr.water.usgs.gov/wy2008/pdfs/50144000.2008.pdf,Low to medium flows regulated by dams at headwater and withdrawals/discharges.,3
50145395,Ref,PuertoRico,,http://wdr.water.usgs.gov/wy2007/pdfs/50145395.2007.pdf,No withdrawals/discharges upstream from station.,1
50147800,Non-ref,PuertoRico,,http://wdr.water.usgs.gov/wy2008/pdfs/50147800.2008.pdf,Low to medium flows affected by withdrawals (3-8%) and discharges upstream from station,2
50148890,Non-ref,PuertoRico,There are water extraction activities at the reservoir by the Puerto Rico Aqueduct and Sewer Authority (PRASA).,http://wdr.water.usgs.gov/wy2009/pdfs/50148890.2009.pdf,Gage located at same pool of WTP intake.,3
